run_id,episode,sim_env_id,policy_name,slam_mode,Psucc_episode,tau_i_sec,Dinc_episode,Aloc_episode,Econ_Wh_episode,Etime_sec_episode,coverage_C,mu_cvg_final,waypoints_reached,pre_drift_alerts,mean_speed_mps,mean_mu_T,mean_mu_L,mean_mu_W,mean_mu_A,reward_sum,op_cbrs_lib_hits,op_cbrs_lib_misses,op_cbrs_lib_misses_no_lib,op_cbrs_lib_hit_ratio,terminated,truncated
20260514_024549,2,e2,Uniform-Speed-0.25mps,proxy,1,112.8,1,1.0,6.195416000268491,112.8,0.4166666666666667,0.2916666666666667,12,4,0.727427743935416,0.958964539007092,1.0,0.4245744289085088,0.8804733032521388,980.4791562157649,1410,0,0,1.0,1,0
20260514_024549,4,e2,Uniform-Speed-0.25mps,proxy,1,115.28,1,0.9986120749479528,6.309466537211888,115.28,0.4166666666666667,0.2916666666666667,12,0,0.7126935291505373,0.9597571131158914,1.0,0.2702747246642232,0.8795544159653148,992.6934112684452,0,1441,0,0.0,1,0
20260514_024549,6,e2,Uniform-Speed-0.25mps,proxy,1,115.68,0,0.9986168741355463,6.327366665211978,115.68,0.4166666666666667,0.2916666666666667,12,6,0.7100287642262948,0.9599446749654215,1.0,0.24026991554226937,0.8793688579479644,994.3161983057222,0,1446,0,0.0,1,0
20260514_024549,8,e2,Uniform-Speed-0.25mps,proxy,1,115.12,1,0.9944405837387075,6.301206280735191,115.12,0.41457601285662066,0.28957601285662066,12,0,0.7130155356042993,0.959145239749826,0.9665495390392866,0.3164542532429784,0.8795447240479841,991.8390531903415,0,1439,0,0.0,1,0
20260514_024549,10,e2,Uniform-Speed-0.25mps,proxy,1,117.60000000000001,2,0.9979591836734694,6.414120203865536,117.60000000000001,0.4166666666666667,0.2916666666666667,12,1,0.6979769237187444,0.9602789115646255,1.0,0.09513132511720386,0.8789638295790808,1000.2466765561478,0,1470,0,0.0,1,0
20260514_024549,12,e2,Uniform-Speed-0.25mps,proxy,1,113.76,3,0.9943741209563994,6.239449936653003,113.76,0.4166666666666667,0.2916666666666667,12,0,0.7215950800899715,0.9593108298171587,1.0,0.36558252458359863,0.8800363719993405,981.449267529827,1422,0,0,1.0,1,0
20260514_024549,14,e2,Uniform-Speed-0.25mps,proxy,1,115.04,2,0.997913769123783,6.297731504882942,115.04,0.4166666666666667,0.2916666666666667,12,0,0.7136146927120292,0.95856050069541,1.0,0.2821386449522834,0.8796311904100709,990.9917473487267,0,1438,0,0.0,1,0
20260514_024549,16,e2,Uniform-Speed-0.25mps,proxy,1,113.84,3,1.0,6.243293076728814,113.84,0.4166666666666667,0.2916666666666667,12,0,0.7212292310727455,0.9592480674631058,1.0,0.3624633164433846,0.8799732422958356,982.8842296418135,1423,0,0,1.0,1,0
20260514_024549,18,e2,Uniform-Speed-0.25mps,proxy,1,118.96000000000001,1,0.9993275050437121,6.477219799006794,118.96000000000001,0.4166666666666667,0.2916666666666667,12,1,0.690714485928286,0.9598722259583051,1.0,0.0,0.8788619350610238,1006.3608598456051,0,1487,0,0.0,1,0
20260514_024549,20,e2,Uniform-Speed-0.25mps,proxy,1,109.28,1,0.9985358711566618,6.037090531840571,109.28,0.4166666666666667,0.2916666666666667,12,5,0.751201752775061,0.958762811127379,1.0,0.6535813131521634,0.8815407767633254,971.0346664185686,1366,0,0,1.0,1,0
20260514_024549,22,e2,Uniform-Speed-0.25mps,proxy,1,112.72,0,0.9964513839602555,6.1918573886983,112.72,0.4166666666666667,0.2916666666666667,12,3,0.7279810252935858,0.9586515259048967,1.0,0.4309875992136468,0.8804897451262134,980.3650948144412,1409,0,0,1.0,1,0
20260514_024549,24,e2,Uniform-Speed-0.25mps,proxy,1,108.72,1,0.9977924944812362,6.0127008820545305,108.72,0.4166666666666667,0.2916666666666667,12,6,0.7555541200967638,0.9585062545989699,1.0,0.6942931669871029,0.8817423519461162,969.682781431836,1359,0,0,1.0,1,0
20260514_024549,26,e2,Uniform-Speed-0.25mps,proxy,1,117.36,1,0.994546693933197,6.404695528585725,117.36,0.4166666666666667,0.2916666666666667,12,0,0.7004309401230985,0.9599250170415813,1.0,0.12625072315418417,0.8790369990415706,999.7912984814021,0,1467,0,0.0,1,0
20260514_024549,28,e2,Uniform-Speed-0.25mps,proxy,1,111.2,2,0.9992805755395684,6.121628558247581,111.2,0.4166666666666667,0.2916666666666667,12,0,0.7369523249727359,0.9590935251798559,1.0,0.5176632548048404,0.8809077875398325,975.3649954539403,1390,0,0,1.0,1,0
20260514_024549,30,e2,Uniform-Speed-0.25mps,proxy,1,123.76,1,0.9948287007110537,6.697609829564269,123.76,0.3854166666666667,0.2604166666666667,12,0,0.663958092264075,0.9601357466063345,0.5,0.2466179373997905,0.8778175051221532,1028.562669130857,0,1547,0,0.0,1,0
20260514_024549,32,e2,Uniform-Speed-0.25mps,proxy,1,118.56,2,0.9973009446693657,6.459450558615389,118.56,0.4166666666666667,0.2916666666666667,12,2,0.6933837120550685,0.9601956815114707,1.0,0.03492170240775792,0.8790146590194157,1004.2259247499352,0,1482,0,0.0,1,0
20260514_024549,34,e2,Uniform-Speed-0.25mps,proxy,1,121.36,2,0.996704021094265,6.587468231198847,121.36,0.3854166666666667,0.2604166666666667,12,0,0.6773035514488296,0.9595187870797622,0.5,0.4384651099525151,0.8785569154581897,1019.02377264949,0,1517,0,0.0,1,0
20260514_024549,36,e2,Uniform-Speed-0.25mps,proxy,1,112.0,0,1.0,6.158965195492975,112.0,0.4166666666666667,0.2916666666666667,12,0,0.7324693798805986,0.9587642857142854,1.0,0.4749851984726441,0.880660777537018,978.7853746029637,1400,0,0,1.0,1,0
20260514_024549,38,e2,Uniform-Speed-0.25mps,proxy,1,110.24000000000001,1,1.0,6.079841101853258,110.24000000000001,0.4166666666666667,0.2916666666666667,12,0,0.7443846832252552,0.9583962264150943,1.0,0.589569050550956,0.881339835495263,973.2977208791913,1378,0,0,1.0,1,0
20260514_024549,40,e2,Uniform-Speed-0.25mps,proxy,1,115.68,1,0.9993084370677732,6.327828060503061,115.68,0.4166666666666667,0.2916666666666667,12,0,0.710333840872572,0.959343015214384,1.0,0.24472864446453915,0.8794409349601962,994.3254833065829,0,1446,0,0.0,1,0
20260514_024549,42,e2,Uniform-Speed-0.25mps,proxy,1,118.88,0,0.9986541049798116,6.474901273374337,118.88,0.4166666666666667,0.2916666666666667,12,0,0.6920850088025167,0.9592261103633912,1.0,0.018551497246100786,0.8791598203068043,1006.693689295429,0,1486,0,0.0,1,0
20260514_024549,44,e2,Uniform-Speed-0.25mps,proxy,1,114.8,2,0.9986062717770035,6.285826062133685,114.8,0.40867176060551996,0.28367176060551996,12,0,0.7144454601957407,0.9597282229965154,0.8720815030216472,0.44905010362333764,0.8795977466182651,985.5248045737367,1435,0,0,1.0,1,0
20260514_024549,46,e2,Uniform-Speed-0.25mps,proxy,1,113.92,1,0.9985955056179775,6.246958581421938,113.92,0.4166666666666667,0.2916666666666667,12,12,0.7207452425879709,0.9598384831460672,1.0,0.356425604429614,0.8799533959860086,983.5992360299301,1424,0,0,1.0,1,0
20260514_024549,48,e2,Uniform-Speed-0.25mps,proxy,1,117.52,1,0.9979577944179714,6.411556256194975,117.52,0.41034926313623377,0.28534926313623377,12,3,0.6991840682320241,0.9599795779441794,0.8989215435130921,0.23710164766352834,0.8789848240104219,1001.4582052341062,0,1469,0,0.0,1,0
20260514_024549,50,e2,Uniform-Speed-0.25mps,proxy,1,110.24000000000001,1,0.9992743105950653,6.079708202888799,110.24000000000001,0.4166666666666667,0.2916666666666667,12,0,0.7442969753581311,0.9585413642960812,1.0,0.5885737640885782,0.8813119615449774,973.3928469589637,1378,0,0,1.0,1,0
20260514_024549,52,e2,Uniform-Speed-0.25mps,proxy,1,111.28,1,0.9978432782171099,6.125246282182913,111.28,0.4166666666666667,0.2916666666666667,12,2,0.7364263441346688,0.9588353702372392,1.0,0.5125230684719756,0.8809053025994211,975.8338661703002,1391,0,0,1.0,1,0
20260514_024549,54,e2,Uniform-Speed-0.25mps,proxy,1,114.56,1,0.9986033519553073,6.275368912167195,114.56,0.40843243105021737,0.2834324310502173,12,11,0.7162524050091232,0.9593645251396646,0.868252230136797,0.4742062143089925,0.8796620863104797,985.157012399853,1432,0,0,1.0,1,0
20260514_024549,56,e2,Uniform-Speed-0.25mps,proxy,1,113.92,1,0.9978932584269663,6.246473968146534,113.92,0.4166666666666667,0.2916666666666667,12,0,0.7204174311894379,0.9598384831460672,1.0,0.35265891658156084,0.8799499602378369,983.4137692880345,1424,0,0,1.0,1,0
20260514_024549,58,e2,Uniform-Speed-0.25mps,proxy,1,114.72,0,1.0,6.2829635516070965,114.72,0.4166666666666667,0.2916666666666667,12,0,0.7154759717702533,0.9595606694560667,1.0,0.3008452916240981,0.8796742873154625,990.9755141857412,0,1434,0,0.0,1,0
20260514_024549,60,e2,Uniform-Speed-0.25mps,proxy,1,112.16,1,0.9964336661911555,6.166888089047389,112.16,0.4166666666666667,0.2916666666666667,12,6,0.7318868557371189,0.9583951497860197,1.0,0.469883121340145,0.8806540281066768,977.5832412264683,1402,0,0,1.0,1,0
20260514_024549,62,e2,Uniform-Speed-0.25mps,proxy,1,117.36,0,0.9959100204498977,6.405039207637548,117.36,0.4166666666666667,0.2916666666666667,12,0,0.7006552864599975,0.9591070211315605,1.0,0.1297474975627699,0.879129974780339,1000.305767558326,0,1467,0,0.0,1,0
20260514_024549,64,e2,Uniform-Speed-0.25mps,proxy,1,115.68,1,0.9993084370677732,6.327499849390107,115.68,0.4166666666666667,0.2916666666666667,12,0,0.7101181194412922,0.9598063623789761,1.0,0.24153589880467158,0.8793839826995696,993.9810921069286,0,1446,0,0.0,1,0
20260514_024549,66,e2,Uniform-Speed-0.25mps,proxy,1,115.76,2,0.9986178299930891,6.330628374873195,115.76,0.4166666666666667,0.2916666666666667,12,3,0.7092757518734698,0.9601105736005525,1.0,0.23142716740517785,0.8793061736624009,994.0260974406702,0,1447,0,0.0,1,0
20260514_024549,68,e2,Uniform-Speed-0.25mps,proxy,1,114.72,2,0.99860529986053,6.282949363489126,114.72,0.4166666666666667,0.2916666666666667,12,2,0.7154656497753814,0.9594211994421196,1.0,0.30103118697115533,0.8796757603356868,990.2129742890834,0,1434,0,0.0,1,0
20260514_024549,70,e2,Uniform-Speed-0.25mps,proxy,1,112.88,0,0.9985825655563431,6.199533471965761,112.88,0.41551857907720696,0.2905185790772069,12,0,0.7272420204294058,0.9590432317505312,0.9816305985686785,0.446275575448987,0.880423195787284,980.9621855040291,1411,0,0,1.0,1,0
20260514_024549,72,e2,Uniform-Speed-0.25mps,proxy,1,117.36,3,0.9965916837082481,6.403819597809671,117.36,0.4166666666666667,0.2916666666666667,12,7,0.6998360542188149,0.9601976823449214,1.0,0.11848336687944604,0.8789387211147301,999.2891696931605,0,1467,0,0.0,1,0
20260514_024549,74,e2,Uniform-Speed-0.25mps,proxy,1,118.88,3,0.9966352624495289,6.474407484911811,118.88,0.4166666666666667,0.2916666666666667,12,4,0.6917510588188351,0.9593606998654102,1.0,0.014085873755728444,0.8791086401273541,1005.2428537804926,0,1486,0,0.0,1,0
20260514_024549,76,e2,Uniform-Speed-0.25mps,proxy,1,112.24000000000001,2,0.9971489665003563,6.169162605912442,112.24000000000001,0.4166666666666667,0.2916666666666667,12,2,0.7304603246519248,0.9590449037776189,1.0,0.45430405960887377,0.8805602049695348,978.1457711279278,1403,0,0,1.0,1,0
20260514_024549,78,e2,Uniform-Speed-0.25mps,proxy,1,113.44,1,1.0,6.225124841911225,113.44,0.4166666666666667,0.2916666666666667,12,1,0.7237628572456255,0.9580677009873058,1.0,0.3898437072776395,0.8802892714846126,982.5090989539078,1418,0,0,1.0,1,0
20260514_024549,80,e2,Uniform-Speed-0.25mps,proxy,1,112.4,1,0.998576512455516,6.177433161002291,112.4,0.4166666666666667,0.2916666666666667,12,7,0.730112782322215,0.9591032028469746,1.0,0.45140048756589657,0.8805903696613054,979.419879237804,1405,0,0,1.0,1,0
20260514_024549,82,e2,Uniform-Speed-0.25mps,proxy,1,114.16,0,0.9992992291520673,6.2582397094746955,114.16,0.4166666666666667,0.2916666666666667,12,0,0.7194826310969101,0.9593622985283811,1.0,0.34382589864010293,0.8798900526767497,989.1363426092682,0,1427,0,0.0,1,0
20260514_024549,84,e2,Uniform-Speed-0.25mps,proxy,1,109.92,4,0.9978165938864629,6.065702833368853,109.92,0.4166666666666667,0.2916666666666667,12,5,0.7467173736168308,0.9579403202328967,1.0,0.6127075091776797,0.8814319088806072,971.3704681773064,1374,0,0,1.0,1,0
20260514_024549,86,e2,Uniform-Speed-0.25mps,proxy,1,117.76,2,0.9972826086956522,6.422425564974573,117.76,0.4156657324726118,0.2906657324726118,12,0,0.697723343057315,0.9604687499999996,0.983985052895135,0.11124165099219319,0.8790265204078266,1001.6112430000535,0,1472,0,0.0,1,0
20260514_024549,88,e2,Uniform-Speed-0.25mps,proxy,1,113.84,1,0.9992972593113141,6.243471423867654,113.84,0.4166666666666667,0.2916666666666667,12,4,0.7213472670974316,0.9589669711876315,1.0,0.36416287761363625,0.8799992405743357,983.5665912562021,1423,0,0,1.0,1,0
