run_id,episode,sim_env_id,policy_name,slam_mode,Psucc_episode,tau_i_sec,Dinc_episode,Aloc_episode,Econ_Wh_episode,Etime_sec_episode,coverage_C,mu_cvg_final,waypoints_reached,pre_drift_alerts,mean_speed_mps,mean_mu_T,mean_mu_L,mean_mu_W,mean_mu_A,reward_sum,op_cbrs_lib_hits,op_cbrs_lib_misses,op_cbrs_lib_misses_no_lib,op_cbrs_lib_hit_ratio,terminated,truncated
20260514_024022,2,e2,PPO-OSD+Fuzzy+OP-CBRS-Sim2Sim-Transfer-e2,proxy,1,93.68,1,1.0,5.349992749861025,93.68,0.4166666666666667,0.2916666666666667,12,0,0.8768182734868956,0.9569684030742954,1.0,0.42457442890851066,0.885416298479037,932.3838284654066,1171,0,0,1.0,1,0
20260514_024022,3,e2,PPO-OSD+Fuzzy+OP-CBRS-Sim2Sim-Transfer-e2,proxy,1,89.2,0,0.9982062780269059,5.159251215199856,89.2,0.4166666666666667,0.2916666666666667,12,0,0.9214571890809611,0.9552825112107622,1.0,0.7549239766893904,0.8868711963387822,920.7690096542414,0,1115,0,0.0,1,0
20260514_024022,4,e2,PPO-OSD+Fuzzy+OP-CBRS-Sim2Sim-Transfer-e2,proxy,1,89.2,0,1.0,5.158222938130753,89.2,0.4166666666666667,0.2916666666666667,12,0,0.9207644506420255,0.9557578475336324,1.0,0.750351329371931,0.8868322223372009,920.6177008206563,0,1115,0,0.0,1,0
20260514_024022,5,e2,PPO-OSD+Fuzzy+OP-CBRS-Sim2Sim-Transfer-e2,proxy,1,94.32000000000001,2,0.9991518235793045,5.377601826643886,94.32000000000001,0.4088751833812257,0.2838751833812257,12,0,0.8708866191577669,0.9572603901611536,0.8753362674329702,0.5290919574149577,0.8853698256313652,934.084892093828,1179,0,0,1.0,1,0
20260514_024022,6,e2,PPO-OSD+Fuzzy+OP-CBRS-Sim2Sim-Transfer-e2,proxy,1,90.88,1,1.0,5.22938045947301,90.88,0.4166666666666667,0.2916666666666667,12,1,0.9034799602354916,0.9566989436619716,1.0,0.6248570158585387,0.8862270076006009,924.3093572807425,1136,0,0,1.0,1,0
20260514_024022,7,e2,PPO-OSD+Fuzzy+OP-CBRS-Sim2Sim-Transfer-e2,proxy,1,93.68,2,0.9982920580700256,5.349932360288619,93.68,0.41647193371879465,0.2914719337187946,12,0,0.8767715693538154,0.956456020495303,0.9968842728340197,0.42104603532662854,0.8855210528447852,931.4722565010242,1171,0,0,1.0,1,0
20260514_024022,8,e2,PPO-OSD+Fuzzy+OP-CBRS-Sim2Sim-Transfer-e2,proxy,1,89.60000000000001,2,0.9973214285714286,5.173675702526937,89.60000000000001,0.41604015429150115,0.2910401542915011,12,2,0.9156121054398162,0.9573303571428572,0.9899758019973677,0.73604676380535,0.8864020527334926,920.6545393454219,0,1120,0,0.0,1,0
20260514_024022,9,e2,PPO-OSD+Fuzzy+OP-CBRS-Sim2Sim-Transfer-e2,proxy,1,92.8,1,0.9982758620689656,5.311859572868267,92.8,0.4166666666666667,0.2916666666666667,12,3,0.8849115731130386,0.9556982758620689,1.0,0.5002045594892505,0.8856511464639538,929.2759044708728,1160,0,0,1.0,1,0
20260514_024022,10,e2,PPO-OSD+Fuzzy+OP-CBRS-Sim2Sim-Transfer-e2,proxy,1,99.04,1,0.9967689822294022,5.583483877228874,99.04,0.4166666666666667,0.2916666666666667,12,0,0.8298819357821167,0.9565993537964459,1.0,0.0,0.8842607673967736,954.139841499951,0,1238,0,0.0,1,0
20260514_024022,11,e2,PPO-OSD+Fuzzy+OP-CBRS-Sim2Sim-Transfer-e2,proxy,1,94.0,3,0.9982978723404256,5.363949392035943,94.0,0.4166666666666667,0.2916666666666667,12,8,0.8739107202215398,0.9569446808510637,1.0,0.39661013602079326,0.8854833293893761,932.1699382216289,1175,0,0,1.0,1,0
