run_id,episode,step,time_sec,sim_env_id,policy_name,slam_mode,x,y,z,slam_x,slam_y,slam_z,yaw,slam_yaw,target_index,distance_to_target_m,min_depth_ray,reward,terminated,truncated,feature_count,mu_T,mu_L,mu_W,mu_A,epsilon_mu,adherence_error_m,mu_cvg,coverage_delta,localization_error_m,localization_accurate,drift_event,pre_drift_alert,speed_mps,policy_speed_mps,commanded_speed_mps,osd_speed_cap_mps,action_speed_normalized,osd_speed_vt,mu_slow,mu_medium,mu_fast,motor_power_w,energy_step_wh,op_cbrs_potential,op_cbrs_shaping_reward,illumination_lux,wind_mps,paper_progress,slam_quality,op_cbrs_potential_source
20260514_035650,232,1,0.08,e2,Eval-Transferred-OSD+Fuzzy+OP-CBRS-e2,proxy,-15.483465194702148,-12.478741645812988,9.587759971618652,0.018177248537540436,-0.011559609323740005,-0.009910975582897663,0.6205116189570652,0.06583769699895654,0,5.728370189666748,1.0,0.44182567596435546,0,0,80.0,1.0,1.0,0.9498002889745354,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9901334127352318,0.9901334127352318,1.0,0.9901334127352318,0.00986658726476831,0.019733174529536594,0.9704002382056952,182.7539999485016,0.004061199998855591,1.1899600577949072,0.0,421.67782581844904,0.25099855512732283,0.028365135192871094,1.0,heuristic_fallback
20260514_035650,232,2,0.16,e2,Eval-Transferred-OSD+Fuzzy+OP-CBRS-e2,proxy,-15.456027030944824,-12.443464279174805,9.567441940307617,0.0711691752076149,0.030754994601011276,-0.07851904630661011,0.6772029750452682,0.12730133662475399,0,5.681325912475586,1.0,0.4912517288965296,0,0,80.0,1.0,1.0,0.9498002889745354,0.9944138706972202,1.4930173383715253,0.00837919395416975,0.0,0.0,0.02230585366487503,1.0,0.0,0.0,0.3697825074195862,1.0,0.9895972942950367,0.9895972942950367,1.0,0.9895972942950367,0.01040270570496316,0.020805411409926297,0.9687918828851104,188.9472909464131,0.0041988286876980686,1.171834135220556,-0.04118045876251548,421.67782581844904,0.25099855512732283,0.04704427719116211,1.0,heuristic_fallback
20260514_035650,232,3,0.24,e2,Eval-Transferred-OSD+Fuzzy+OP-CBRS-e2,proxy,-15.421406745910645,-12.398953437805176,9.541791915893555,0.11439721286296844,0.05258093401789665,-0.06251707673072815,0.7227828312794455,0.17529229808264468,0,5.622016429901123,1.0,0.5524192668375949,0,0,80.0,1.0,1.0,0.9498002889745354,0.9851406080027422,1.4814257600034277,0.022289087995886803,0.0,0.0,0.04647732898592949,1.0,0.0,0.0,0.6136730313301086,1.0,0.9887102246261538,0.9887102246261538,1.0,0.9887102246261538,0.011289775373846168,0.02257955074769231,0.9661306738784614,197.82230917547452,0.004396051315010545,1.1513872130561456,-0.03799447393640092,421.67782581844904,0.25099855512732283,0.05930948257446289,1.0,heuristic_fallback
20260514_035650,232,4,0.32,e2,Eval-Transferred-OSD+Fuzzy+OP-CBRS-e2,proxy,-15.382065773010254,-12.348371505737305,9.512622833251953,0.17777235805988312,0.09390873461961746,-0.09927765280008316,0.7594290564902639,0.21295933495218314,0,5.554685592651367,1.0,0.5525995557255942,0,0,80.0,1.0,1.0,0.9498002889745354,0.9734309713045756,1.4667887141307194,0.0398535430431366,0.0,0.0,0.010219747200608253,1.0,0.0,0.0,0.7743662595748901,1.0,0.987595260858255,0.987595260858255,1.0,0.987595260858255,0.01240473914174505,0.024809478283490095,0.9627857825747649,205.75162613998737,0.004572258358666387,1.1756529902205948,-0.08037575293358183,421.67782581844904,0.25099855512732283,0.06733083724975586,1.0,heuristic_fallback
20260514_035650,232,5,0.4,e2,Eval-Transferred-OSD+Fuzzy+OP-CBRS-e2,proxy,-15.339630126953125,-12.293810844421387,9.481131553649902,0.23258374631404877,0.09358655661344528,-0.1269288957118988,0.7888926071589779,0.2438383745288906,0,5.482141971588135,1.0,0.6146046552933313,0,0,80.0,1.0,1.0,0.9498002889745354,0.9601098572214445,1.4501373215268056,0.05983521416783333,0.0,0.0,0.02892369031906128,1.0,0.0,0.0,0.8800787925720215,1.0,0.9863338148745681,0.9863338148745681,1.0,0.9863338148745681,0.01366618512543184,0.027332370250863717,0.9590014446237044,211.8708486628675,0.004708241081397055,1.1582947543609723,-0.04123206671306907,421.67782581844904,0.25099855512732283,0.07254362106323242,1.0,heuristic_fallback
20260514_035650,232,6,0.48,e2,Eval-Transferred-OSD+Fuzzy+OP-CBRS-e2,proxy,-15.295173645019531,-12.236653327941895,9.44810676574707,0.3231775462627411,0.1265169233083725,-0.1485850065946579,0.8125812901818141,0.26421970143851525,0,5.406241416931152,1.0,0.6081144858991732,0,0,80.0,1.0,1.0,0.9498002889745354,0.9457229971885681,1.4321537464857101,0.08141550421714783,0.0,0.0,0.01447120402008295,1.0,0.0,0.0,0.9494587182998657,1.0,0.9849796955915857,0.9849796955915857,1.0,0.9849796955915857,0.015020304408414282,0.03004060881682856,0.9549390867747571,216.27760269734836,0.004806168948829963,1.165537404076987,-0.06441495757482414,421.67782581844904,0.25099855512732283,0.07590055465698242,1.0,heuristic_fallback
20260514_035650,232,7,0.56,e2,Eval-Transferred-OSD+Fuzzy+OP-CBRS-e2,proxy,-15.249407768249512,-12.177811622619629,9.414071083068848,0.384827196598053,0.12308605760335922,-0.17379102110862732,0.8316270098621491,0.2901764225499598,0,5.328211784362793,1.0,0.6273498162483702,0,0,80.0,1.0,1.0,0.9498002889745354,0.930628627538681,1.4132857844233513,0.10405705869197845,0.0,0.0,0.014567023143172264,1.0,0.0,0.0,0.9948306083679199,1.0,0.9835681054658931,0.9835681054658931,1.0,0.9835681054658931,0.01643189453410685,0.03286378906821374,0.9507043163976794,219.32814619493,0.0048739588043317785,1.1616919473221983,-0.053996792520696196,421.67782581844904,0.25099855512732283,0.07802963256835938,1.0,heuristic_fallback
20260514_035650,232,8,0.64,e2,Eval-Transferred-OSD+Fuzzy+OP-CBRS-e2,proxy,-15.202801704406738,-12.117889404296875,9.379915237426758,0.44703951478004456,0.18482239544391632,-0.21504993736743927,0.846939772055823,0.288204868926617,0,5.248929023742676,1.0,0.6381490291107904,0,0,80.0,1.0,1.0,0.9498002889745354,0.9150649607181549,1.3938312008976936,0.12740255892276764,0.0,0.0,0.02407733164727688,1.0,0.0,0.0,1.0243395566940308,1.0,0.9821223124982609,0.9821223124982609,1.0,0.9821223124982609,0.017877687501739157,0.035755375003478355,0.9463669374947825,221.26173590750886,0.004916927464611308,1.1506682992389883,-0.046779373335540865,421.67782581844904,0.25099855512732283,0.07928276062011719,1.0,heuristic_fallback
20260514_035650,232,9,0.72,e2,Eval-Transferred-OSD+Fuzzy+OP-CBRS-e2,proxy,-15.155665397644043,-12.05728530883789,9.346330642700195,0.49554306268692017,0.17821241915225983,-0.23421038687229156,0.8592512302578774,0.31064272467629084,0,5.168971538543701,1.0,0.6285965913179941,0,0,80.0,1.0,1.0,0.9498002889745354,0.8995481928189596,1.3744352410236995,0.15067771077156067,0.0,0.0,0.0164170078933239,1.0,0.0,0.0,1.0405386686325073,1.0,0.9806905670343661,0.9806905670343661,1.0,0.9806905670343661,0.01930943296563403,0.03861886593126807,0.942071701103098,222.20355074890585,0.00493785668330902,1.152534350079654,-0.05883567749861493,421.67782581844904,0.25099855512732283,0.07995748519897461,1.0,heuristic_fallback
20260514_035650,232,10,0.8,e2,Eval-Transferred-OSD+Fuzzy+OP-CBRS-e2,proxy,-15.108201026916504,-11.996260643005371,9.313762664794922,0.5901177525520325,0.21122950315475464,-0.24241818487644196,0.8691496367897141,0.32968822782987983,0,5.088709354400635,1.0,0.6491296746051983,0,0,80.0,1.0,1.0,0.9498002889745354,0.8844885230064392,1.355610653758049,0.1732672154903412,0.0,0.0,0.04017031937837601,1.0,0.0,0.0,1.0475181341171265,1.0,0.9793101591726581,0.9793101591726581,1.0,0.9793101591726581,0.02068984082734182,0.041379681654683684,0.9379304775179744,222.44117749102998,0.004943137277578444,1.130954449012735,-0.03591990383584585,421.67782581844904,0.25099855512732283,0.0802621841430664,1.0,heuristic_fallback
