run_id,episode,sim_env_id,policy_name,slam_mode,Psucc_episode,tau_i_sec,Dinc_episode,Aloc_episode,Econ_Wh_episode,Etime_sec_episode,coverage_C,mu_cvg_final,waypoints_reached,pre_drift_alerts,mean_speed_mps,mean_mu_T,mean_mu_L,mean_mu_W,mean_mu_A,reward_sum,op_cbrs_lib_hits,op_cbrs_lib_misses,op_cbrs_lib_misses_no_lib,op_cbrs_lib_hit_ratio,terminated,truncated
20260516_234115,2,e1,Uniform-Speed-OffPolicy-Tasks,proxy,1,304.8,7,0.9766404199475066,15.42978907153026,304.8,0.5,0.39375000000000004,16,74,0.2515591172760553,0.5540333239595048,1.0,0.287621250357213,0.9152711432989796,1398.330730182515,0,0,3810,0.0,1,0
20260516_234115,4,e1,Uniform-Speed-OffPolicy-Tasks,proxy,1,304.8,5,0.9748031496062992,15.42978907153026,304.8,0.5,0.39375000000000004,16,88,0.2515591172760553,0.5540333239595048,1.0,0.2809907049063235,0.9152711432989796,1399.9419208118652,0,0,3810,0.0,1,0
20260516_234115,6,e1,Uniform-Speed-OffPolicy-Tasks,proxy,1,304.8,4,0.9779527559055118,15.42978907153026,304.8,0.5,0.39375000000000004,16,61,0.2515591172760553,0.5540333239595048,1.0,0.8469561543929627,0.9152711432989796,1379.8911632467657,0,0,3810,0.0,1,0
20260516_234115,8,e1,Uniform-Speed-OffPolicy-Tasks,proxy,1,304.8,5,0.958005249343832,15.42978907153026,304.8,0.5,0.39375000000000004,16,84,0.2515591172760553,0.5540333239595048,1.0,0.5259970243492352,0.9152711432989796,1389.91485284362,0,0,3810,0.0,1,0
20260516_234115,10,e1,Uniform-Speed-OffPolicy-Tasks,proxy,1,304.8,4,0.9721784776902888,15.42978907153026,304.8,0.5,0.39375000000000004,16,103,0.2515591172760553,0.5540333239595048,1.0,0.805165808738482,0.9152711432989796,1380.7558087792484,0,0,3810,0.0,1,0
20260516_234115,12,e1,Uniform-Speed-OffPolicy-Tasks,proxy,1,304.8,2,0.9766404199475066,15.42978907153026,304.8,0.5,0.39375000000000004,16,79,0.2515591172760553,0.5540333239595048,1.0,0.6613220291719693,0.9152711432989796,1387.2171429443838,0,0,3810,0.0,1,0
20260516_234115,14,e1,Uniform-Speed-OffPolicy-Tasks,proxy,1,304.8,8,0.9674540682414698,15.42978907153026,304.8,0.5,0.39375000000000004,16,106,0.2515591172760553,0.5540333239595048,1.0,0.5099550503720788,0.9152711432989796,1389.3420442798413,0,0,3810,0.0,1,0
20260516_234115,16,e1,Uniform-Speed-OffPolicy-Tasks,proxy,1,304.8,5,0.968241469816273,15.42978907153026,304.8,0.5,0.39375000000000004,16,90,0.2515591172760553,0.5540333239595048,1.0,0.36511964575112804,0.9152711432989796,1396.2281759253237,0,0,3810,0.0,1,0
20260516_234115,18,e1,Uniform-Speed-OffPolicy-Tasks,proxy,1,304.8,8,0.974015748031496,15.42978907153026,304.8,0.5,0.39375000000000004,16,87,0.2515591172760553,0.5540333239595048,1.0,0.8191204951337153,0.9152711432989796,1379.1689718210364,0,0,3810,0.0,1,0
20260516_234115,20,e1,Uniform-Speed-OffPolicy-Tasks,proxy,1,304.8,2,0.9850393700787402,15.42978907153026,304.8,0.5,0.39375000000000004,16,100,0.2515591172760553,0.5540333239595048,1.0,0.5091663516050654,0.9152711432989796,1393.2226674388637,0,0,3810,0.0,1,0
